Number_of_Neighbours	Number_of_PCs	Number_of_Cells	Number_of_HVGs	Algorithm.Leiden	Algorithm.Louvain	Algorithm.Walktrap	Exp_Type.Droplet	acceptable_ari
23	13	7262	500	0	0	1	1	0
24	13	7262	500	0	0	1	1	0
25	13	7262	500	0	0	1	1	0
26	13	7262	500	0	0	1	1	0
27	13	7262	500	0	0	1	1	0
28	13	7262	500	0	0	1	1	0
29	13	7262	500	0	0	1	1	0
30	13	7262	500	0	0	1	1	0
31	13	7262	500	0	0	1	1	0
32	13	7262	500	0	0	1	1	0
33	13	7262	500	0	0	1	1	0
34	13	7262	500	0	0	1	1	0
35	13	7262	500	0	0	1	1	0
36	13	7262	500	0	0	1	1	0
37	13	7262	500	0	0	1	1	0
38	13	7262	500	0	0	1	1	0
39	13	7262	500	0	0	1	1	0
40	13	7262	500	0	0	1	1	0
41	13	7262	500	0	0	1	1	0
42	13	7262	500	0	0	1	1	0
43	13	7262	500	0	0	1	1	0
44	13	7262	500	0	0	1	1	0
45	13	7262	500	0	0	1	1	0
46	13	7262	500	0	0	1	1	0
47	13	7262	500	0	0	1	1	0
48	13	7262	500	0	0	1	1	0
49	13	7262	500	0	0	1	1	0
50	13	7262	500	0	0	1	1	0
1	20	9313	500	0	0	1	1	0
2	20	9313	500	0	0	1	1	0
3	20	9313	500	0	0	1	1	0
4	20	9313	500	0	0	1	1	0
5	20	9313	500	0	0	1	1	0
6	20	9313	500	0	0	1	1	0
7	20	9313	500	0	0	1	1	0
8	20	9313	500	0	0	1	1	0
9	20	9313	500	0	0	1	1	0
10	20	9313	500	0	0	1	1	0
11	20	9313	500	0	0	1	1	0
12	20	9313	500	0	0	1	1	0
13	20	9313	500	0	0	1	1	0
14	20	9313	500	0	0	1	1	0
15	20	9313	500	0	0	1	1	0
16	20	9313	500	0	0	1	1	0
17	20	9313	500	0	0	1	1	0
18	20	9313	500	0	0	1	1	0
19	20	9313	500	0	0	1	1	0
20	20	9313	500	0	0	1	1	0
21	20	9313	500	0	0	1	1	0
22	20	9313	500	0	0	1	1	0
23	20	9313	500	0	0	1	1	0
24	20	9313	500	0	0	1	1	0
25	20	9313	500	0	0	1	1	0
